,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
4891,2014,Educação,Atenção básica,18437.1
4893,2014,Educação,Atenção básica,174479.72
4900,2014,Educação,Ensino profissional,108008.24
4902,2014,Educação,Ensino profissional,264743.0
4904,2014,Educação,Ensino profissional,579344.12
4905,2014,Educação,Ensino profissional,3469.9
4907,2014,Educação,Ensino superior,98812.7
4908,2014,Educação,Ensino superior,239192.23
4909,2014,Educação,Ensino superior,180753.0
4911,2014,Educação,Ensino superior,353111.3
4917,2014,Educação,Ensino superior,384991.98
4920,2014,Educação,Ensino superior,323313.17
4922,2014,Educação,Ensino profissional,222706.26
4924,2014,Educação,Ensino profissional,38699.54
4925,2014,Educação,Ensino profissional,3508.54
4927,2014,Educação,Ensino profissional,434.21
4934,2014,Educação,Ensino superior,592007.65
4947,2014,Educação,Ensino profissional,6727.59
4948,2014,Educação,Ensino profissional,64538.59
4950,2014,Educação,Ensino profissional,245162.39
4951,2014,Educação,Ensino profissional,30.37
4953,2014,Educação,Atenção básica,684.66
4959,2014,Educação,Ensino superior,218841.71
4970,2014,Educação,Ensino superior,27776.31
4971,2014,Educação,Ensino profissional,431014.81
4973,2014,Educação,Ensino superior,36119.48
4978,2014,Educação,Atenção básica,147448.57
4986,2014,Educação,Ensino superior,314795.0
4988,2014,Educação,Ensino superior,86730.78
4991,2014,Educação,Ensino superior,62909.19
4992,2014,Educação,Atenção básica,9432.36
4994,2014,Educação,Ensino superior,43037.15
5005,2014,Educação,Ensino profissional,8048.32
5008,2014,Educação,Ensino profissional,373208.52
5009,2014,Educação,Ensino profissional,194603.04
5010,2014,Educação,Ensino profissional,56635.2
5011,2014,Educação,Atenção básica,19506.08
5017,2014,Educação,Atenção básica,2853.0
5023,2014,Educação,Ensino superior,327430.71
5027,2014,Educação,Ensino superior,149660.0
5032,2014,Educação,Ensino profissional,175534.54
5033,2014,Educação,Ensino profissional,6648.02
5034,2014,Educação,Atenção básica,7968.24
5036,2014,Educação,Atenção básica,25903.05
5042,2014,Educação,Ensino superior,32541.3
5047,2014,Educação,Ensino superior,343993.76
5050,2014,Educação,Ensino superior,2031.36
5053,2014,Educação,Ensino superior,18690.05
5054,2014,Educação,Ensino superior,76639.01
5055,2014,Educação,Atenção básica,503319.75
5056,2014,Educação,Ensino superior,152035.0
5058,2014,Educação,Atenção básica,428290.06
